"GeneID","N2.Mean_N","WDR5.Mean_N","Fold.Change_Log2","P.Value.Ad","Chrom.No","start","end","strand"
135,55.02098559,135.0982735,1.29595535,0.090666401,"II",8363145,8369108,"minus"
136,198.1061477,471.1391913,1.249879695,0.010636218,"X",4565276,4569534,"plus"
137,18036.22955,17162.2246,-0.071661206,0.80659006,"III",3822385,3826243,"plus"
138,2730.484963,1776.626621,-0.620016698,0.349044672,"I",12759576,12764950,"minus"
139,941.679965,877.1095708,-0.102479756,0.961859398,"V",20898906,20903410,"minus"
140,63899.83541,28764.81822,-1.151506862,0.214411667,"I",4321096,4359106,"plus"
142,15452.82068,13993.17111,-0.143147265,0.771069369,"V",10127469,10130272,"minus"
143,14135.17982,12644.63838,-0.160764458,0.860383217,"III",8080547,8083630,"plus"
144,2209.183066,1648.980111,-0.421938976,0.94457893,"V",10425339,10426363,"minus"
145,16153.2723,13230.17672,-0.287994121,0.840582561,"III",4593737,4594394,"minus"
146,54210.36803,49209.1363,-0.139642606,0.942985937,"V",11675924,11685259,"plus"
147,14249.69076,11702.58982,-0.284102773,0.675637971,"I",9232060,9233555,"minus"
148,24726.4115,21291.9399,-0.21574548,0.726811342,"I",10340988,10345642,"plus"
149,100897.5146,96970.48804,-0.057272988,1,"X",5112389,5116839,"minus"
150,7648.220585,8122.353658,0.086773712,0.921864995,"I",5342181,5344727,"minus"
151,12396.3364,11379.48114,-0.123479034,0.959423349,"II",8047510,8049053,"plus"
155,13739.31539,13137.07728,-0.064665776,0.90363625,"I",4964668,4967330,"minus"
156,60211.42941,61668.95977,0.034507144,1,"I",8050038,8055469,"plus"
157,14604.51066,15461.22216,0.082240344,0.908138005,"X",4458247,4459242,"plus"
158,30466.23937,29893.0832,-0.027399725,1,"I",14406016,14417922,"plus"
159,13928.70742,13307.53382,-0.06581815,0.973349723,"V",6017951,6018867,"plus"
160,41688.14278,43778.35825,0.070580752,1,"III",2583965,2597027,"minus"
161,39242.13398,36495.3319,-0.104691556,0.937150879,"X",9336760,9343006,"plus"
162,24712.32082,24398.41338,-0.018443173,1,"II",3532529,3546436,"minus"
163,36518.22106,36516.06409,-8.52e-05,0.947098602,"I",7853743,7857829,"plus"
164,26515.61918,25266.40571,-0.069621991,0.863700762,"X",954932,957760,"plus"
165,10373.00863,11330.90375,0.127428534,0.986695257,"I",1155346,1156023,"minus"
166,92.11073159,311.3512024,1.757101695,0.148208619,"X",11068461,11071859,"plus"
168,7598.595131,6655.216162,-0.191247184,1,"V",3210189,3223219,"plus"
169,57.82232077,241.8665914,2.064513087,0.003129191,"II",7235793,7238308,"minus"
170,334834.4455,326030.6483,-0.03844036,0.986729658,"II",9258853,9261934,"minus"
172,879.4113974,2183.259706,1.311873619,0.004779872,"V",9737567,9744206,"plus"
173,5.614483398,32.80928781,2.54687909,0.150699997,"V",10491720,10493245,"plus"
174,684.3003509,359.167028,-0.929974772,0.41749441,"V",10648425,10651800,"plus"
175,4461.877222,4072.651941,-0.131682292,0.954583572,"X",3025052,3026961,"plus"
176,142.7715403,369.314626,1.371141974,0.022183604,"X",4702935,4704939,"minus"
177,96.68472794,116.8389608,0.273161503,1,"I",9605923,9608929,"plus"
178,29206.26602,24752.49546,-0.238703943,0.636532929,"II",9768392,9769793,"minus"
179,11786.33858,8249.558566,-0.514726787,0.496364918,"III",13673177,13674644,"plus"
180,7182.279795,7804.644006,0.119890972,1,"II",9674916,9677146,"plus"
181,29295.17772,29077.99556,-0.010735379,1,"IV",11131256,11133764,"plus"
182,229868.8506,222531.8677,-0.046799028,1,"III",5716068,5717541,"plus"
183,174566.8793,141861.9781,-0.299291892,0.933722922,"IV",7982512,7983918,"plus"
184,12369.93791,12633.76246,0.030446093,1,"IV",16947094,16949514,"plus"
185,17.27204459,44.22873062,1.356544964,0.509944834,"X",1786902,1788400,"plus"
186,11851.99727,12203.12366,0.042120286,0.786620698,"IV",12622061,12630999,"minus"
187,8898.798838,8932.310186,0.005422738,1,"II",8581894,8583020,"plus"
189,5379.021203,5289.448334,-0.024226412,1,"III",9823148,9824047,"plus"
190,7.35857286,20.56552972,1.482730334,0.800651881,"IV",7634821,7635696,"plus"
191,5.69397744,32.66870316,2.520400504,0.206978658,"X",14980884,14981605,"minus"
192,31846.14761,29073.54497,-0.13141187,1,"IV",14798108,14799278,"plus"
193,466.6410195,722.4420779,0.630568792,0.800651881,"III",4813273,4814778,"minus"
195,17121.5736,17040.24689,-0.006869065,1,"X",950779,954230,"plus"
196,4946.040009,4620.133201,-0.098339464,0.819809329,"II",11460099,11464015,"minus"
197,36176.15042,38775.42441,0.100103676,1,"I",3983174,3986918,"plus"
198,42928.98472,45038.31168,0.069200694,1,"II",6970626,6972195,"minus"
199,21045.23286,21547.93429,0.034056098,0.994743581,"I",2883498,2893720,"minus"
200,22165.46865,21642.6493,-0.034436754,0.909907921,"V",10334987,10338334,"minus"
201,16272.61705,16391.90332,0.010537089,1,"III",12052238,12058358,"minus"
202,6295.87124,5816.707036,-0.114203393,0.839780922,"III",860188,861289,"plus"
203,14576.43163,15476.6485,0.086455502,0.895611489,"III",12816689,12818006,"minus"
204,21413.49932,19614.9152,-0.126569477,1,"III",4878622,4879661,"plus"
205,8082.926898,7198.136251,-0.167254389,0.885386293,"I",3069234,3070142,"minus"
206,24641.71253,25932.95679,0.073684184,1,"III",4594509,4595912,"minus"
207,33901.80179,32273.60349,-0.07100728,1,"X",4469718,4471455,"plus"
208,11258.51667,14020.21151,0.316491352,0.715347305,"II",15039326,15048831,"plus"
209,26178.09088,21766.42103,-0.266255678,0.924063831,"I",8692938,8693463,"plus"
210,12902.76767,12161.44665,-0.085365706,1,"X",6841216,6842164,"plus"
211,9066.670742,7077.443125,-0.357344644,0.404486614,"II",6910028,6912653,"plus"
212,12.95193088,50.69106345,1.968564239,0.387133255,"X",11321013,11324196,"minus"
214,4385.392791,8094.315793,0.884203068,0.359845558,"V",19049094,19050796,"minus"
215,1005.122286,1587.010362,0.658940514,0.274435382,"V",9199657,9205105,"plus"
216,2742.947492,4599.473857,0.745741833,0.375058956,"X",6791025,6792676,"plus"
217,61087.24704,55109.31349,-0.14857507,0.90363625,"X",13218908,13221400,"minus"
218,757.7001077,1742.038609,1.201077741,0.24482142,"V",8272355,8274027,"plus"
219,977.4695779,3097.311255,1.663892663,0.14507241,"V",8267526,8268919,"minus"
220,32220.81695,36132.88583,0.165319409,0.765280476,"II",8751933,8753886,"plus"
221,17070.35061,15728.45716,-0.11811553,1,"X",14809088,14810780,"minus"
222,24438.94625,20960.70996,-0.221494498,0.933093665,"X",12480880,12484829,"plus"
223,82562.59424,77261.0831,-0.095746401,0.963302868,"III",4491596,4499450,"minus"
224,21231.89799,29649.23936,0.481761749,0.510719178,"IV",17269305,17272147,"plus"
225,6144.319873,7754.665406,0.335811209,0.379598917,"II",14640021,14644010,"minus"
226,20182.56829,16262.19535,-0.311587744,0.519528342,"V",9634837,9645478,"minus"
227,9906.421477,9154.902385,-0.1138195,1,"I",203037,208467,"plus"
228,8823.503943,9193.716561,0.059296504,1,"V",12478394,12484433,"plus"
229,209691.3831,208978.7472,-0.004911347,1,"III",5228370,5230505,"plus"
230,108510.0896,112798.169,0.055914455,1,"I",5428546,5429911,"minus"
231,102251.6897,102224.5021,-0.000383648,1,"III",10461292,10467953,"plus"
232,697.1735152,1075.670107,0.625646021,0.406039266,"I",5967253,5973322,"minus"
233,196.0548562,772.5213435,1.978317416,8.43e-06,"V",13498772,13511705,"minus"
235,72732.28748,56325.46542,-0.368808621,0.650607921,"III",9467373,9467982,"plus"
236,18001.25603,17081.95963,-0.075624084,1,"I",6563641,6564454,"minus"
237,12046.17599,12367.26223,0.037950921,1,"I",2949611,2957878,"minus"
238,2143.499056,2466.175075,0.202307439,0.864723781,"X",7165960,7170582,"minus"
239,541.6696031,719.894105,0.410371571,0.668532916,"III",5612232,5614637,"plus"
240,3660.22296,4009.385565,0.13144963,0.835482981,"II",8762613,8765156,"minus"
241,815.3892068,1303.553829,0.676889394,0.190634008,"I",14371129,14376005,"minus"
242,768.7532913,1323.192481,0.783430355,0.194151784,"IV",7934085,7937734,"plus"
244,473.3293868,1101.10165,1.21803126,0.007647698,"V",6762459,6765055,"minus"
245,1625.136387,1685.151848,0.052317798,1,"X",6201873,6204711,"minus"
246,26.63142186,28.99360891,0.122605464,0.995569476,"IV",11086069,11092531,"minus"
247,10834.01561,9976.944334,-0.118898144,0.857681653,"IV",5661131,5664416,"minus"
248,16203.32638,14887.61551,-0.122177312,1,"III",3538280,3541615,"minus"
249,35682.14503,32337.11739,-0.142011266,1,"V",11644356,11645353,"plus"
250,1778.508077,1604.085993,-0.148916041,1,"V",13568822,13570015,"plus"
251,1.816282498,16.25996377,3.162263526,0.278974401,"II",10708901,10712066,"plus"
252,50.72146852,68.49118082,0.433321717,0.841890947,"II",5651392,5652408,"minus"
253,7082.475576,6329.204616,-0.162229512,0.80444303,"I",145968,154850,"minus"
254,38695.38995,34396.6446,-0.169893862,0.86231417,"I",6342231,6356680,"plus"
255,16.42109934,44.26950495,1.430762526,0.601277223,"III",13427622,13429612,"minus"
257,51757.26232,49842.3719,-0.054388584,1,"V",14453288,14456901,"minus"
259,4248.483308,3886.151232,-0.128605851,0.812868811,"II",6274234,6279661,"plus"
262,18078.01685,16035.1397,-0.172999501,0.753499845,"X",13598401,13599605,"plus"
263,62140.34463,50995.05078,-0.285173007,1,"III",909707,910716,"minus"
264,11517.28774,11006.04261,-0.065505191,1,"III",3853087,3862940,"minus"
265,19881.1672,15105.74742,-0.396304889,0.539510687,"III",6885148,6889469,"minus"
266,9110.701749,14417.61202,0.662198146,0.222830007,"IV",8987115,8990428,"plus"
267,948.6851868,1010.908853,0.091651599,0.94903235,"III",13133822,13139513,"minus"
268,3020.931762,3085.367503,0.030448745,0.999975272,"III",9469842,9485367,"minus"
269,3174.476194,4257.682538,0.423549825,0.416643488,"I",1621353,1626607,"minus"
270,4355.791848,4068.818064,-0.098325241,0.963624988,"IV",12049239,12051204,"minus"
271,23497.85144,21601.02435,-0.12142912,0.905924852,"II",7305817,7308699,"plus"
272,2283.843119,2352.505641,0.042734629,0.933463975,"I",5186946,5188619,"plus"
273,3924.531515,7920.63024,1.013094785,0.185843227,"III",12020448,12025253,"plus"
274,17799.36646,15828.60629,-0.169291659,0.843804866,"II",13200093,13215640,"plus"
275,78817.02818,70956.50238,-0.151572456,0.788948635,"I",7251939,7255223,"plus"
276,42537.23132,37944.50411,-0.164835193,0.756686084,"III",6931944,6935807,"plus"
277,13419.27475,13156.69198,-0.028509908,0.901781776,"X",12199496,12212981,"minus"
279,774.6993216,1491.575116,0.945128252,0.055360436,"III",5083168,5085251,"minus"
280,266.6550903,648.0302149,1.281086213,0.194913304,"II",7480708,7483064,"minus"
281,80.88005415,49.89266964,-0.696956097,1,"X",16487406,16489323,"plus"
282,2560.58299,2057.489889,-0.315586977,0.987984016,"X",13542502,13544531,"plus"
283,950.0447979,1832.818929,0.947996816,0.156018157,"X",7019981,7023926,"plus"
284,569.3606113,928.706409,0.705879901,0.189174722,"I",3629474,3630747,"plus"
285,217.8395942,468.8495174,1.105858748,0.076349477,"V",12514857,12515667,"minus"
286,255.2530312,617.9405211,1.275539887,0.052043688,"II",8960650,8961508,"plus"
287,121.6058615,117.9609335,-0.043903625,0.911534179,"IV",3829541,3835159,"minus"
288,66.44535432,242.9212612,1.870248526,0.078558745,"IV",10524501,10530572,"plus"
289,87367.9609,89189.52949,0.029770034,1,"II",9295856,9310242,"minus"
292,38702.26908,39900.03806,0.04397197,1,"IV",7228326,7230214,"minus"
293,47213.46007,54825.87447,0.215658702,0.851490212,"II",10869129,10870928,"plus"
294,34321.9674,27867.65335,-0.30054073,0.586653866,"X",16807385,16813600,"minus"
295,333.2126204,575.7170652,0.788916933,0.127674446,"X",5705684,5710550,"minus"
296,111.3315281,424.7686612,1.931815121,0.000678202,"II",257819,261063,"plus"
298,674.7168779,536.6803229,-0.330219258,0.818181726,"V",10564855,10566441,"plus"
301,599102.2987,536498.3836,-0.159228545,0.752577987,"IV",9772490,9773656,"plus"
302,1177.367746,1293.954762,0.13622217,0.668470854,"V",13557148,13559910,"plus"
366,209353.2589,214362.9232,0.034116019,1,"III",9766430,9774738,"plus"
367,3549.388664,3582.907315,0.013560163,1,"X",7847635,7861258,"minus"
368,3831.156364,5605.572297,0.549081763,0.148901029,"I",3641656,3647012,"minus"
369,32357.45204,32454.206,0.004307452,1,"III",11918727,11920142,"minus"
370,1104.811753,2082.365706,0.914422885,0.068172114,"IV",15270126,15275775,"minus"
371,92136.86879,89743.6296,-0.037969036,1,"I",9788740,9789956,"plus"
372,10.60814521,28.36823977,1.419104206,0.646141492,"II",9803561,9805451,"plus"
373,258.2149221,769.3098755,1.574992452,0.052981587,"V",5420996,5423289,"minus"
374,5001.634916,4198.355902,-0.252575283,0.671365389,"IV",9101758,9103836,"minus"
375,7156.729292,5939.874938,-0.268867854,0.668768133,"II",5503949,5506098,"plus"
376,162600.3601,156658.0113,-0.053711903,1,"IV",12361546,12371824,"plus"
377,41682.79251,41767.92011,0.002943371,0.996879035,"II",8185384,8187551,"plus"
378,25778.33632,26839.67376,0.058207977,0.996731475,"II",8927675,8929753,"plus"
379,29464.79186,26646.72735,-0.145033717,0.78747124,"II",8283611,8285661,"plus"
380,63168.49321,60392.06728,-0.064846101,0.859191817,"III",4499160,4508084,"minus"
381,28149.48651,26819.44338,-0.06982931,0.869328761,"III",5853488,5855649,"minus"
382,24648.8188,21896.92438,-0.170790268,0.775859146,"I",4268070,4270288,"minus"
383,101138.1744,101428.6651,0.004137792,1,"II",5587606,5593410,"minus"
386,21789.77501,18537.07016,-0.23323806,0.838653572,"I",6469387,6471953,"minus"
387,97291.0569,83479.50404,-0.220885168,0.851193992,"V",1577690,1584934,"plus"
388,12399.72419,12148.94758,-0.029476687,1,"III",8916339,8917853,"minus"
389,79.62358093,105.391692,0.404493484,0.590742383,"II",10188251,10190889,"minus"
390,68613.10106,68536.84459,-0.0016043,1,"II",7616402,7618195,"plus"
391,1015.863743,544.6672502,-0.89925988,0.275279837,"X",8208700,8211098,"minus"
393,9640.910735,8636.114403,-0.158787083,0.818759694,"X",6499872,6504576,"minus"
395,16667.67253,17472.9299,0.068068882,1,"III",7741208,7754383,"minus"
396,168946.1306,139955.1451,-0.271598783,0.684575643,"III",4520333,4536957,"plus"
397,9634.540676,15677.33923,0.702392931,0.044701907,"IV",8669129,8677961,"plus"
399,88.58226146,85.60931588,-0.049250032,1,"II",14843142,14850758,"plus"
401,5139.926908,7855.791146,0.612008731,0.101988814,"X",16595163,16601969,"plus"
402,590.8526628,946.740555,0.680170704,0.153160094,"IV",2436514,2463368,"minus"
403,12940.09353,17500.76809,0.435570197,0.24482142,"II",5945381,5956660,"minus"
405,62984.94856,54877.86962,-0.198782634,0.668532916,"III",9747347,9748767,"plus"
406,14456.21785,12782.97937,-0.177466023,0.686129152,"X",13515785,13518834,"minus"
407,8593.32587,7699.874842,-0.158381609,0.888369859,"III",13464583,13466289,"minus"
408,16064.93938,16125.61936,0.005439036,0.970402904,"I",2280917,2291185,"minus"
409,26341.78687,26011.60836,-0.018197605,1,"I",8702472,8705790,"plus"
410,12252.29982,11159.46057,-0.134785285,0.864365568,"I",11323519,11333144,"plus"
411,160017.8588,160050.7472,0.000296486,1,"II",10785391,10787221,"plus"
412,12.1209291,13.52043916,0.157641724,0.954105087,"V",15921342,15922801,"plus"
413,57382.20751,53294.91865,-0.106605483,1,"I",3223156,3228024,"minus"
414,65252.73438,61432.82915,-0.087028533,1,"III",8426265,8428509,"plus"
415,28105.17355,24922.87192,-0.173365401,0.804913591,"I",11851334,11868096,"minus"
416,13872.26536,13263.68058,-0.064722232,1,"IV",1597315,1601620,"plus"
417,19344.17846,17567.22398,-0.139013229,0.91587346,"IV",13198256,13206272,"minus"
418,18066.63687,16762.78626,-0.108066002,0.784972874,"III",4852289,4855317,"plus"
419,20228.55887,17583.5341,-0.202168477,0.736840263,"IV",10484090,10492932,"plus"
420,7864.881451,6665.438364,-0.23872526,0.714493473,"III",5595730,5598393,"plus"
421,46647.90444,39832.31551,-0.227872924,0.80444303,"III",9570131,9579788,"minus"
422,11439.53437,7759.379844,-0.560015074,0.273841701,"X",8413962,8416866,"minus"
423,28017.64073,26412.02366,-0.085140633,1,"III",10335078,10337697,"plus"
424,30098.71754,28163.5858,-0.095870987,1,"IV",3506286,3509526,"minus"
425,30837.29067,22729.0632,-0.440137794,0.390809341,"III",9119482,9125073,"plus"
426,20246.29759,18032.76333,-0.167037617,0.859175407,"I",10222870,10228015,"minus"
427,15.46376807,6.242845533,-1.30861623,0.93104301,"X",8299067,8299602,"minus"
428,25.09945127,72.8560144,1.537392251,0.13330828,"X",4653118,4654132,"minus"
429,977.7171079,1161.829977,0.248909957,0.888798042,"I",6046834,6050464,"minus"
430,2695.775333,2382.647046,-0.178135013,0.818172359,"I",9727195,9728012,"plus"
431,5168.276012,4029.615466,-0.359040946,0.573979892,"I",8498108,8502406,"minus"
432,7.101204731,11.29582586,0.669654046,0.968831746,"II",8703318,8703779,"minus"
433,2077.743329,1866.619217,-0.15458979,0.924823799,"I",8245716,8250890,"minus"
434,17.18731267,70.15031207,2.029105532,0.165398281,"I",565439,566394,"minus"
435,2432.688498,2147.576183,-0.179842287,0.801785864,"III",5799028,5801064,"plus"
437,33140.26875,29019.46789,-0.191564236,1,"III",7555594,7558142,"plus"
438,563.4594855,824.8128707,0.549754965,0.226166856,"X",7528570,7532686,"minus"
439,5194.218548,3947.57369,-0.39594052,0.803936441,"III",8622578,8625920,"plus"
440,592.037505,731.5487321,0.305265401,0.459949396,"I",4568963,4570028,"minus"
441,553.9765159,724.8720215,0.387901486,0.619317751,"X",3843354,3857778,"minus"
442,186.0762977,339.8943217,0.869191963,0.218125328,"IV",7953497,7955886,"minus"
443,59445.18492,58174.47377,-0.0311737,0.921165583,"III",6979827,6981733,"plus"
444,12466.35772,12942.28122,0.054051914,1,"X",1849625,1852730,"minus"
445,3561.897742,3903.276989,0.132039746,0.932449279,"V",10672438,10675623,"plus"
446,13.24983912,39.82211541,1.587595019,0.428819656,"III",7839528,7841425,"plus"
447,358.5098869,676.4819713,0.91603858,0.130000894,"V",13813295,13815258,"plus"
448,13610.27396,14106.18597,0.051631858,1,"III",8067224,8071356,"plus"
449,23228.26193,17673.51227,-0.394292431,0.634656016,"V",11661535,11664679,"minus"
450,35.79391458,77.46140759,1.113763386,0.313253026,"X",13074613,13076023,"plus"
451,4198.119792,3534.450943,-0.248257216,0.851490212,"X",3063564,3065541,"plus"
452,2020.233293,1837.10208,-0.137090109,1,"X",3068638,3070386,"minus"
453,45844.30414,37099.02537,-0.305361213,0.720445096,"V",11701743,11705383,"minus"
