"GeneID","N2.Mean_N","WDR5.Mean_N","Fold.Change_Log2","P.Value","Chrom.No","start","end","strand"
86,5014.489289,9365.159325,0.901200764,0.001568602,"X",751210,759731,"minus"
88,46.68269317,206.3903394,2.144415745,4.06e-05,"I",14850059,14855779,"minus"
89,402.571888,1152.745205,1.517755328,9.15e-06,"I",13543021,13545179,"minus"
90,9752.418185,7594.879147,-0.360732982,0.173886931,"II",11519435,11526998,"minus"
92,20771.54407,17222.81906,-0.27028716,0.300914914,"X",5289691,5298008,"minus"
93,2849.902324,1870.029533,-0.60785142,0.14770464,"IV",13368435,13369396,"minus"
94,7012.579592,4530.822809,-0.630172169,0.093958395,"II",5371789,5373404,"minus"
95,11766.99705,11976.80516,0.025496928,0.971500384,"I",10193916,10196990,"minus"
96,1612.264441,2483.617059,0.623354354,0.023812523,"I",9522570,9531122,"plus"
97,10433.57351,5922.888895,-0.816860439,0.015665925,"V",14012318,14013629,"plus"
98,30705.38016,19291.02255,-0.670561847,0.026755187,"V",8221390,8223567,"plus"
99,32002.70706,19586.01989,-0.708369691,0.029254975,"I",5937479,5938887,"plus"
100,88875.89386,135025.9242,0.603372353,0.023900172,"X",9092226,9113562,"plus"
101,32606.15921,23848.51232,-0.451245238,0.082077398,"II",7472685,7478914,"minus"
102,30286.15104,21859.37058,-0.470406383,0.177526086,"V",10248880,10252870,"plus"
103,3554.622883,3326.790629,-0.095565436,0.996108543,"X",14147631,14152013,"plus"
105,101215.4913,93589.51565,-0.113011289,0.748234368,"X",13949073,13956187,"plus"
106,117353.6498,85544.75468,-0.456111411,0.232243338,"II",873183,878961,"plus"
107,10120.46747,10973.20164,0.116708591,0.663444714,"III",5077725,5080636,"plus"
109,14750.13688,20959.52361,0.506877584,0.107229909,"IV",11022580,11025851,"plus"
110,8537.075748,7624.51088,-0.16309719,0.733446203,"V",6427194,6429910,"minus"
111,986.3560088,736.7081567,-0.421015241,0.18546101,"V",1996108,1999580,"minus"
112,10355.01779,10885.53688,0.072082532,0.786132111,"II",1306247,1310140,"minus"
113,5782.515667,4746.148292,-0.284940092,0.304082488,"II",13487125,13491718,"minus"
114,42311.6234,43007.67289,0.023540031,0.682484564,"II",11728886,11731163,"plus"
115,20541.54772,15339.39399,-0.421303399,0.081464586,"III",5855994,5859141,"plus"
116,4990.206008,4190.180018,-0.252087149,0.295985444,"X",7140459,7143598,"minus"
117,5898.494935,4215.486777,-0.484647648,0.060900184,"III",774319,778867,"minus"
118,6531.694442,4310.945446,-0.599452996,0.019860799,"III",7453947,7455917,"plus"
120,70825.05974,44387.68171,-0.674100552,0.092077502,"IV",9108916,9109736,"plus"
121,80572.45514,34093.33115,-1.24079715,0.004656082,"IV",9147452,9148568,"plus"
122,132834.657,70481.54725,-0.914314099,0.005267108,"IV",12123133,12125162,"plus"
123,90650.33246,52229.4924,-0.795447628,0.047934854,"IV",4248061,4258166,"plus"
134,53.88437477,175.4826546,1.703389545,0.00784037,"IV",13042367,13046834,"plus"
135,51.9462639,172.7164786,1.733313839,0.001832958,"II",8363145,8369108,"minus"
136,186.7313167,1001.498191,2.423124008,4.58e-09,"X",4565276,4569534,"plus"
137,16805.08434,13281.71513,-0.339456322,0.145193121,"III",3822385,3826243,"plus"
138,2554.153296,2430.576929,-0.071546319,0.827321671,"I",12759576,12764950,"minus"
139,880.449404,822.9736938,-0.097393784,0.802539035,"V",20898906,20903410,"minus"
140,59230.934,67720.59586,0.193243831,1,"I",4321096,4359106,"plus"
142,14412.03661,9207.289847,-0.646425753,0.028996308,"V",10127469,10130272,"minus"
143,13223.57869,8225.649922,-0.684911088,0.027398482,"III",8080547,8083630,"plus"
144,2087.370928,491.2372976,-2.087194984,3.83e-06,"V",10425339,10426363,"minus"
145,15151.07762,8897.18517,-0.767999525,0.034021324,"III",4593737,4594394,"minus"
146,50777.90154,44032.79641,-0.205622306,0.496033896,"V",11675924,11685259,"plus"
147,13312.38101,9487.567392,-0.488658496,0.102987985,"I",9232060,9233555,"minus"
148,22988.29593,16489.48712,-0.479353,0.071346588,"I",10340988,10345642,"plus"
149,94708.68331,143391.7755,0.598393668,0.017072295,"X",5112389,5116839,"minus"
150,7161.49728,11368.94977,0.666765836,0.010699885,"I",5342181,5344727,"minus"
151,11612.46298,5922.983753,-0.971277963,0.001332425,"II",8047510,8049053,"plus"
155,12835.64507,7586.752359,-0.75860145,0.010352757,"I",4964668,4967330,"minus"
156,56258.0956,44425.11475,-0.340685214,0.16287685,"I",8050038,8055469,"plus"
157,13690.53779,13687.45052,-0.00032537,0.823885821,"X",4458247,4459242,"plus"
158,28470.44597,27101.33026,-0.071101424,0.762171889,"I",14406016,14417922,"plus"
159,12890.84657,10921.81358,-0.239134575,0.660951524,"V",6017951,6018867,"plus"
160,38948.99367,41174.78907,0.080175206,0.682959821,"III",2583965,2597027,"minus"
161,36692.46933,34848.57912,-0.074384164,0.740021127,"X",9336760,9343006,"plus"
162,23163.00994,19823.00716,-0.224646902,0.550934828,"II",3532529,3546436,"minus"
163,34058.43186,26689.90176,-0.351718016,0.122817428,"I",7853743,7857829,"plus"
164,24724.23403,19460.77792,-0.345356445,0.177069556,"X",954932,957760,"plus"
165,9697.203054,9169.218839,-0.080769863,0.865485095,"I",1155346,1156023,"minus"
166,87.66097856,569.2060981,2.698944429,0.003927187,"X",11068461,11071859,"plus"
168,7155.506534,3701.211518,-0.951056312,0.011757799,"V",3210189,3223219,"plus"
169,54.09222507,470.6034209,3.121018659,3.76e-12,"II",7235793,7238308,"minus"
170,314475.4624,408095.1544,0.375958128,0.108851303,"II",9258853,9261934,"minus"
172,829.5653401,3082.510561,1.893678314,1.74e-06,"V",9737567,9744206,"plus"
173,5.316448095,98.38236878,4.20986518,6.73e-07,"V",10491720,10493245,"plus"
174,632.0521193,237.3449073,-1.413058435,0.010718204,"V",10648425,10651800,"plus"
175,4204.266211,10497.18588,1.320076689,0.001576229,"X",3025052,3026961,"plus"
176,134.8600075,437.9059132,1.699158349,0.000238271,"X",4702935,4704939,"minus"
177,88.65002912,151.3807529,0.771988778,0.77932408,"I",9605923,9608929,"plus"
178,27226.15217,23180.65596,-0.232071711,0.329427612,"II",9768392,9769793,"minus"
179,11042.20739,8291.371293,-0.413345972,0.204350199,"III",13673177,13674644,"plus"
180,6678.715742,6439.356922,-0.052654094,0.664951332,"II",9674916,9677146,"plus"
181,27545.33761,20007.17688,-0.461290536,0.437990294,"IV",11131256,11133764,"plus"
182,215955.7437,192256.1556,-0.167705897,0.759026685,"III",5716068,5717541,"plus"
183,164181.5944,126238.4451,-0.379141062,0.323024669,"IV",7982512,7983918,"plus"
184,11576.28792,12521.47233,0.113231502,0.64760935,"IV",16947094,16949514,"plus"
185,16.20243705,42.58233769,1.394044324,0.115329933,"X",1786902,1788400,"plus"
186,11160.48174,15460.95235,0.470229885,0.156507981,"IV",12622061,12630999,"minus"
187,8279.782206,8131.488869,-0.026073286,0.74711769,"II",8581894,8583020,"plus"
189,5041.647999,4065.194982,-0.310570844,0.575526348,"III",9823148,9824047,"plus"
190,6.680842713,18.18830031,1.444908731,0.429717617,"IV",7634821,7635696,"plus"
191,5.34052971,49.76303207,3.220019641,0.00164084,"X",14980884,14981605,"minus"
192,29867.96299,22571.88393,-0.404072013,0.212045991,"IV",14798108,14799278,"plus"
193,432.2614717,1022.927145,1.24272724,0.00452486,"III",4813273,4814778,"minus"
195,16031.84371,15067.91979,-0.089460091,0.899252961,"X",950779,954230,"plus"
196,4606.606462,3722.682112,-0.307361929,0.130686301,"II",11460099,11464015,"minus"
197,33860.81264,23521.49567,-0.525636797,0.112659121,"I",3983174,3986918,"plus"
198,40399.59587,31017.51168,-0.381257908,0.40188406,"II",6970626,6972195,"minus"
199,19624.5064,16406.40358,-0.258397344,0.308323634,"I",2883498,2893720,"minus"
200,20668.71188,20615.25519,-0.00373616,0.900071489,"V",10334987,10338334,"minus"
201,15246.84326,13365.92037,-0.189951391,0.715647473,"III",12052238,12058358,"minus"
202,5844.334473,3810.688061,-0.616987231,0.112786667,"III",860188,861289,"plus"
203,13674.70464,10461.7558,-0.386384672,0.32449742,"III",12816689,12818006,"minus"
204,20095.66109,16174.45874,-0.313166604,0.477954927,"III",4878622,4879661,"plus"
205,7561.863691,4220.136973,-0.841452019,0.009590744,"I",3069234,3070142,"minus"
206,23146.09394,16523.21137,-0.48627464,0.421035534,"III",4594509,4595912,"minus"
207,31850.55619,29304.34344,-0.120204051,0.93703955,"X",4469718,4471455,"plus"
208,10544.90067,6376.490539,-0.725710981,0.020624462,"II",15039326,15048831,"plus"
209,24591.85205,14409.06658,-0.77120351,0.142344092,"I",8692938,8693463,"plus"
210,12081.98154,9518.370003,-0.344070646,0.452809502,"X",6841216,6842164,"plus"
211,8450.54399,3315.967735,-1.349614246,4.59e-06,"II",6910028,6912653,"plus"
212,12.05625373,104.0023097,3.108761979,0.003606883,"X",11321013,11324196,"minus"
214,4179.393952,16040.80687,1.940381054,0.028175723,"V",19049094,19050796,"minus"
215,949.982722,3215.18009,1.758926369,0.00053937,"V",9199657,9205105,"plus"
216,2604.179489,7748.404715,1.573070423,0.02977518,"X",6791025,6792676,"plus"
217,56558.91767,56377.74466,-0.004628747,0.950468534,"X",13218908,13221400,"minus"
218,722.5486832,3090.619333,2.09672927,0.017327514,"V",8272355,8274027,"plus"
219,932.4204539,6434.77447,2.786837027,0.004830603,"V",8267526,8268919,"minus"
220,30221.64981,59118.73991,0.9680331,0.000220456,"II",8751933,8753886,"plus"
221,16085.9034,17825.56254,0.148150645,0.648153391,"X",14809088,14810780,"minus"
222,22939.39392,21207.50931,-0.113252079,0.676517305,"X",12480880,12484829,"plus"
223,77265.77173,61278.67392,-0.334444373,0.202506318,"III",4491596,4499450,"minus"
224,19828.67227,43811.14766,1.14370993,1.78e-05,"IV",17269305,17272147,"plus"
225,5776.747205,13349.99891,1.208510357,3.18e-06,"II",14640021,14644010,"minus"
226,18814.86743,12349.69373,-0.607397861,0.01440135,"V",9634837,9645478,"minus"
227,9297.972504,5791.943829,-0.682868548,0.047884231,"I",203037,208467,"plus"
228,8230.179989,13325.61534,0.695206267,0.018606985,"V",12478394,12484433,"plus"
229,197187.7144,158190.4749,-0.317906935,0.584341985,"III",5228370,5230505,"plus"
230,101901.2882,84699.79709,-0.266741871,0.730216331,"I",5428546,5429911,"minus"
231,96247.92738,73684.00323,-0.385404029,0.325367993,"III",10461292,10467953,"plus"
232,651.2790873,1769.714107,1.442168508,2.84e-05,"I",5967253,5973322,"minus"
233,184.9626045,1067.451706,2.528865277,8.24e-09,"V",13498772,13511705,"minus"
235,68091.18911,33909.38268,-1.005783608,0.002677458,"III",9467373,9467982,"plus"
236,16910.20203,8605.371528,-0.974584511,0.007371017,"I",6563641,6564454,"minus"
237,11273.09733,17194.17421,0.609035872,0.023474252,"I",2949611,2957878,"minus"
238,2003.397619,3832.488046,0.935832507,0.001854842,"X",7165960,7170582,"minus"
239,506.6417823,1146.612741,1.17834025,0.000360175,"III",5612232,5614637,"plus"
240,3431.772722,6255.748777,0.866228567,0.001942419,"II",8762613,8765156,"minus"
241,764.2116102,2343.134797,1.616395872,3.68e-08,"I",14371129,14376005,"minus"
242,717.5943542,1828.419165,1.349356401,2.61e-05,"IV",7934085,7937734,"plus"
244,443.5713507,1629.829256,1.87748274,3.55e-09,"V",6762459,6765055,"minus"
245,1523.196147,1275.450096,-0.256095282,0.369082215,"X",6201873,6204711,"minus"
246,24.86517279,59.45345416,1.257634174,0.225442834,"IV",11086069,11092531,"minus"
247,10064.28807,8421.74451,-0.257054108,0.343693092,"IV",5661131,5664416,"minus"
248,15164.33769,20738.18833,0.451607378,0.059852536,"III",3538280,3541615,"minus"
249,33560.25947,22778.5573,-0.559077494,0.177626023,"V",11644356,11645353,"plus"
250,1671.896334,1008.337877,-0.729506254,0.041190602,"V",13568822,13570015,"plus"
252,47.65504687,42.44101061,-0.167169999,0.92525106,"II",5651392,5652408,"minus"
253,6604.089347,8700.64666,0.397762992,0.353863079,"I",145968,154850,"minus"
254,36180.9035,36730.08264,0.021733707,0.967146406,"I",6342231,6356680,"plus"
255,15.18828907,40.22259639,1.405046849,0.384285478,"III",13427622,13429612,"minus"
257,48486.38722,31208.69312,-0.635631816,0.055444612,"V",14453288,14456901,"minus"
259,3952.606055,3335.635862,-0.244842369,0.184954837,"II",6274234,6279661,"plus"
262,16862.5862,11152.25398,-0.596490495,0.033475426,"X",13598401,13599605,"plus"
263,58613.59828,33727.65624,-0.797303339,0.151177499,"III",909707,910716,"minus"
264,10785.61912,6700.646716,-0.686736743,0.025370139,"III",3853087,3862940,"minus"
265,18588.89278,10941.0922,-0.764684077,0.014460089,"III",6885148,6889469,"minus"
266,8511.901174,18644.91099,1.131228604,6.55e-05,"IV",8987115,8990428,"plus"
267,887.8219055,1315.16734,0.566904168,0.131274653,"III",13133822,13139513,"minus"
268,2831.708645,4396.23418,0.634595404,0.040509955,"III",9469842,9485367,"minus"
269,2981.348253,3151.33306,0.079997331,0.526702918,"I",1621353,1626607,"minus"
270,4076.230209,2703.964746,-0.592159189,0.083046113,"IV",12049239,12051204,"minus"
271,21980.03891,14908.45864,-0.560062833,0.055029827,"II",7305817,7308699,"plus"
272,2140.627988,3352.922209,0.647384915,0.034388776,"I",5186946,5188619,"plus"
273,3727.627666,13562.86435,1.863332225,0.01135498,"III",12020448,12025253,"plus"
274,16650.80538,7999.200019,-1.057664328,0.000419311,"II",13200093,13215640,"plus"
275,73591.61092,46890.1007,-0.650257938,0.02986062,"I",7251939,7255223,"plus"
276,39679.07513,32268.51029,-0.298251423,0.327904885,"III",6931944,6935807,"plus"
277,12624.98534,15317.64378,0.278912681,0.138610761,"X",12199496,12212981,"minus"
279,725.2162792,1271.243936,0.809757677,0.014617983,"III",5083168,5085251,"minus"
280,253.189303,1077.1063,2.088872278,0.016734903,"II",7480708,7483064,"minus"
281,77.28715522,261.6201647,1.759173173,0.109410477,"X",16487406,16489323,"plus"
282,2427.512525,4640.858444,0.934912953,0.014438058,"X",13542502,13544531,"plus"
283,899.3322672,2551.15566,1.504224791,0.013617544,"X",7019981,7023926,"plus"
284,533.6563316,1239.22642,1.21545694,0.000458718,"I",3629474,3630747,"plus"
285,205.8937365,849.0972226,2.044029811,8.76e-05,"V",12514857,12515667,"minus"
286,241.1107444,1037.270964,2.105024968,6.43e-05,"II",8960650,8961508,"plus"
287,114.4201967,351.0159168,1.617194722,0.000196676,"IV",3829541,3835159,"minus"
288,63.17185496,469.1793925,2.892785807,0.001403881,"IV",10524501,10530572,"plus"
289,81529.40624,78639.22486,-0.052071407,0.693392776,"II",9295856,9310242,"minus"
292,36138.41701,32271.84183,-0.163257394,0.520076937,"IV",7228326,7230214,"minus"
293,44164.13384,44139.61013,-0.00080133,0.901219177,"II",10869129,10870928,"plus"
294,32021.41701,30233.23748,-0.082901675,0.704012096,"X",16807385,16813600,"minus"
295,314.172064,717.8366663,1.192100714,0.003933409,"X",5705684,5710550,"minus"
296,104.1910409,248.6682864,1.254991297,0.00540798,"II",257819,261063,"plus"
298,625.3864182,764.8439381,0.290417517,0.513638593,"V",10564855,10566441,"plus"
301,558882.104,375619.2733,-0.573272889,0.067160002,"IV",9772490,9773656,"plus"
302,1109.408584,2212.032101,0.995581529,0.004496871,"V",13557148,13559910,"plus"
366,196013.1587,147019.1356,-0.414946564,0.135668152,"III",9766430,9774738,"plus"
367,3304.060016,5814.073926,0.815309523,0.027627999,"X",7847635,7861258,"minus"
368,3600.676273,8476.101184,1.235132913,3.95e-06,"I",3641656,3647012,"minus"
369,30440.4419,22567.08081,-0.431769494,0.348644493,"III",11918727,11920142,"minus"
370,1032.909937,2769.60362,1.422965049,2.92e-06,"IV",15270126,15275775,"minus"
371,86707.05928,66905.10482,-0.374033164,0.679109236,"I",9788740,9789956,"plus"
372,9.854672331,74.42714394,2.916949068,0.002201314,"II",9803561,9805451,"plus"
373,244.7234564,455.4678454,0.896196819,0.017923831,"V",5420996,5423289,"minus"
374,4664.42836,3421.450943,-0.447092023,0.074534008,"IV",9101758,9103836,"minus"
375,6652.564993,4269.447314,-0.639861377,0.025723191,"II",5503949,5506098,"plus"
376,152386.6679,106736.8773,-0.51367798,0.104384203,"IV",12361546,12371824,"plus"
377,38923.33943,27201.26538,-0.516961725,0.092726564,"II",8185384,8187551,"plus"
378,24137.89717,20470.8212,-0.237731019,0.593181962,"II",8927675,8929753,"plus"
379,27432.8356,19766.11597,-0.472874344,0.067323795,"II",8283611,8285661,"plus"
380,58755.82044,40790.34133,-0.526504195,0.058464191,"III",4499160,4508084,"minus"
381,26238.95942,21781.89419,-0.268581088,0.283505889,"III",5853488,5855649,"minus"
382,23020.72739,13946.55998,-0.723024105,0.013113656,"I",4268070,4270288,"minus"
383,94632.43874,82063.1435,-0.205600386,0.509533021,"II",5587606,5593410,"minus"
386,20426.25173,11679.68607,-0.806422992,0.010941656,"I",6469387,6471953,"minus"
387,91138.05452,60188.06927,-0.598576036,0.056416343,"V",1577690,1584934,"plus"
388,11637.65582,4925.107939,-1.240573236,8.78e-05,"III",8916339,8917853,"minus"
389,75.82768348,297.5831896,1.972496477,0.021433018,"II",10188251,10190889,"minus"
390,64422.36814,61903.80721,-0.057533554,0.927265957,"II",7616402,7618195,"plus"
391,952.2156532,1209.606583,0.345177645,0.241655954,"X",8208700,8211098,"minus"
393,8999.907697,9360.679878,0.056703113,1,"X",6499872,6504576,"minus"
395,15554.43049,28703.66778,0.883909524,0.002556027,"III",7741208,7754383,"minus"
396,156923.0548,122682.5148,-0.355127681,0.146486265,"III",4520333,4536957,"plus"
397,9066.396341,23351.89768,1.364938659,4.47e-06,"IV",8669129,8677961,"plus"
399,83.75647187,202.164191,1.2712549,0.001239035,"II",14843142,14850758,"plus"
401,4831.382292,12230.35241,1.339958057,2.08e-07,"X",16595163,16601969,"plus"
402,554.8374183,1759.654894,1.665155521,4.12e-08,"IV",2436514,2463368,"minus"
403,12163.50173,27259.99031,1.164226425,2.72e-06,"II",5945381,5956660,"minus"
405,58741.22653,30969.64413,-0.923518585,0.001725112,"III",9747347,9748767,"plus"
406,13463.69774,9037.271363,-0.575115545,0.027725831,"X",13515785,13518834,"minus"
407,8040.475118,6036.025325,-0.413681895,0.177512096,"III",13464583,13466289,"minus"
408,14998.61203,10322.26849,-0.539068939,0.089488529,"I",2280917,2291185,"minus"
409,24700.37931,18501.90107,-0.416859682,0.168279893,"I",8702472,8705790,"plus"
410,11453.36535,6206.194163,-0.883990831,0.002860325,"I",11323519,11333144,"plus"
411,150298.7515,110565.6674,-0.442929552,0.324072282,"II",10785391,10787221,"plus"
412,11.32828647,37.65475651,1.732902462,0.100483186,"V",15921342,15922801,"plus"
413,53826.294,34922.58053,-0.62415093,0.062363424,"I",3223156,3228024,"minus"
414,61111.7606,58417.33443,-0.065053515,0.839564481,"III",8426265,8428509,"plus"
415,26258.39484,20810.3008,-0.335480909,0.181235468,"I",11851334,11868096,"minus"
416,13020.1608,7453.304703,-0.804795121,0.014954233,"IV",1597315,1601620,"plus"
417,18112.34325,14914.66037,-0.280242079,0.369619796,"IV",13198256,13206272,"minus"
418,16823.21105,11084.48675,-0.60191113,0.023293529,"III",4852289,4855317,"plus"
419,18877.68795,15244.3892,-0.308403734,0.216834559,"IV",10484090,10492932,"plus"
420,7340.871047,8107.80476,0.143360089,0.715992411,"III",5595730,5598393,"plus"
421,43661.49837,27584.42719,-0.662507619,0.016407162,"III",9570131,9579788,"minus"
422,10644.25938,6527.886864,-0.705387612,0.004775869,"X",8413962,8416866,"minus"
423,26326.13161,16988.35042,-0.631949773,0.077713582,"III",10335078,10337697,"plus"
424,28218.74257,23678.32431,-0.253086716,0.430425791,"IV",3506286,3509526,"minus"
425,28780.05996,20456.85813,-0.492485012,0.067620661,"III",9119482,9125073,"plus"
426,18939.37476,13223.70828,-0.5182619,0.059379602,"I",10222870,10228015,"minus"
427,14.25708015,8.385926197,-0.765636509,0.577476839,"X",8299067,8299602,"minus"
428,23.76611449,120.2377184,2.338911576,0.000528093,"X",4653118,4654132,"minus"
429,911.7496514,1609.050964,0.819500374,0.012937576,"I",6046834,6050464,"minus"
430,2515.354128,2870.038957,0.190308793,0.56093832,"I",9727195,9728012,"plus"
431,4822.239237,4944.613247,0.036154455,0.888869055,"I",8498108,8502406,"minus"
432,6.494558736,12.08157857,0.895505556,0.810136709,"II",8703318,8703779,"minus"
433,1943.588387,2299.153949,0.242380353,0.551551111,"I",8245716,8250890,"minus"
434,16.31248398,49.40925163,1.59880472,0.069397871,"I",565439,566394,"minus"
435,2261.971502,2488.021385,0.137418132,0.866052313,"III",5799028,5801064,"plus"
436,0.831101219,19.73349562,4.569478537,0.022718874,"I",5840292,5841891,"plus"
437,31131.9924,20383.25794,-0.611013248,0.066676263,"III",7555594,7558142,"plus"
438,530.1112827,1409.363136,1.410676232,1.49e-05,"X",7528570,7532686,"minus"
439,4881.916572,3773.055028,-0.3717145,0.267694937,"III",8622578,8625920,"plus"
440,557.7294091,1098.308764,0.97764644,0.006049993,"I",4568963,4570028,"minus"
441,519.0031624,1539.955691,1.569073606,2.44e-06,"X",3843354,3857778,"minus"
442,175.8769718,426.4764872,1.277899606,0.020944314,"IV",7953497,7955886,"minus"
443,55444.74726,56535.35643,0.028102603,0.949080752,"III",6979827,6981733,"plus"
444,11714.94209,6073.931086,-0.947647378,0.006466812,"X",1849625,1852730,"minus"
445,3330.655155,6167.049095,0.888774342,0.002678234,"V",10672438,10675623,"plus"
446,12.38368471,36.86787023,1.573923432,0.173849052,"III",7839528,7841425,"plus"
447,338.8354225,1143.465094,1.754755716,0.000315884,"V",13813295,13815258,"plus"
448,12718.67341,17793.14817,0.48437359,0.102253759,"III",8067224,8071356,"plus"
