"GeneID","N2.Mean_N","WDR5.Mean_N","Fold.Change_Log2","P.Value","Chrom.No","start","end","strand","gene_name","description"
26,3.477958748,1.188531489,-1.630320955,0.450808644,"X",17553344,17554374,0,"abu-3","Caenorhabditis elegans Protein ABU-3 (abu-3) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_078438]"
27,0.658194529,0.814564939,0.252145623,1,"V",2274881,2275976,0,"abu-4","Caenorhabditis elegans Protein ABU-4 (abu-4) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_182410]"
28,0.49892969,0.271521646,-0.705956947,0.950325596,"IV",15590665,15591740,0,"abu-5","Caenorhabditis elegans Protein ABU-5 (abu-5) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_070472]"
29,0.658194529,9.349985855,3.682168486,0.010706852,"V",5160663,5161877,0,"abu-6","Caenorhabditis elegans Protein ABU-6 (abu-6) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_071982]"
30,3.57896071,20.01036999,2.458000149,0.004388006,"V",5163380,5164743,0,"abu-7","Caenorhabditis elegans Protein ABU-7 (abu-7) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_071983]"
31,3.735873939,7.381080087,0.993414917,0.543597073,"V",5193123,5194551,0,"abu-8","Caenorhabditis elegans Protein ABU-8 (abu-8) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_071992]"
32,11.86581635,8.042500336,-0.579063265,0.908896078,"X",8322059,8323291,0,"abu-9","Caenorhabditis elegans Protein PQN-57 (pqn-57) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_077005]"
33,2.157335208,9.89989087,2.180037811,0.061053291,"X",3798207,3799626,0,"abu-10","Caenorhabditis elegans Protein ABU-10 (abu-10) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_076258]"
34,29.73571897,29.09116989,-0.059939255,1,"II",192592,194534,0,"abu-11","Caenorhabditis elegans Protein ABU-11 (abu-11) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_061278]"
35,172.1259014,162.2612998,-0.079107055,1,"X",16367309,16373200,0,"ace-1","Caenorhabditis elegans Protein ACE-1 (ace-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_078259]"
36,259.5031985,379.1363908,0.54446243,0.807187462,"I",3302199,3307467,0,"ace-2","Caenorhabditis elegans Protein ACE-2 (ace-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_058740]"
37,13.76147061,43.98030909,1.644048731,0.010781189,"II",14205607,14209810,0,"ace-3","Caenorhabditis elegans Protein ACE-3 (ace-3) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_064562]"
38,0.658194529,2.209149515,1.643089639,0.476753782,"II",14198092,14205250,0,"ace-4","Caenorhabditis elegans Protein ACE-4 (ace-4) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_064561]"
39,113.2892006,128.268703,0.178244995,1,"X",5092811,5097036,0,"acn-1","Caenorhabditis elegans Protein ACN-1, isoform a (acn-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001029282]"
40,16270.9829,17552.09331,0.109308087,1,"X",11339812,11343098,0,"aco-1","Caenorhabditis elegans Protein ACO-1 (aco-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_077497]"
41,44447.41466,43068.10809,-0.04547697,1,"III",7973660,7976893,0,"aco-2","Caenorhabditis elegans Protein ACO-2, isoform a. [Source:RefSeq mRNA;Acc:NM_171200]"
42,3.127004587,11.288777,2.015339813,0.088130426,"X",6702653,6709103,0,"acr-2","Caenorhabditis elegans Protein ACR-2 (acr-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_076727]"
43,8.291558854,12.21602045,0.514004978,0.981964178,"X",6709548,6712740,0,"acr-3","Caenorhabditis elegans Protein ACR-3 (acr-3) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_076728]"
44,7.704293412,42.38874176,2.494522448,5.59e-05,"III",6509646,6514712,0,"acr-5","Caenorhabditis elegans Protein ACR-5 (acr-5) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_066036]"
45,2.99592975,4.412600586,0.680272477,0.856776045,"I",4359117,4362549,0,"acr-6","Caenorhabditis elegans Protein ACR-6 (acr-6) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_058953]"
46,0.658194529,5.426356889,2.904522804,0.07670244,"II",7845612,7849672,0,"acr-7","Caenorhabditis elegans Protein ACR-7 (acr-7) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_063246]"
47,14.28341835,47.45206986,1.746570268,0.005513211,"X",10412782,10416531,0,"acr-8","Caenorhabditis elegans Protein ACR-8 (acr-8) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_077344]"
48,8.917328898,15.89383431,0.83732969,0.560388351,"X",13642452,13646698,0,"acr-9","Caenorhabditis elegans Protein ACR-9 (acr-9) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_077884]"
49,2.421836491,3.783044441,0.581805468,0.93770912,"X",4023291,4025561,0,"acr-10","Caenorhabditis elegans Protein ACR-10 (acr-10) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_076291]"
50,19.73125747,19.60571175,-0.003968265,1,"I",6621688,6624895,0,"acr-11","Caenorhabditis elegans Protein ACR-11 (acr-11) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_059505]"
51,18.62392716,134.332182,2.856389459,1.38e-13,"X",13532973,13536242,0,"acr-12","Caenorhabditis elegans Protein ACR-12 (acr-12) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_077861]"
53,0,1.400283019,5.076307246,0.147294266,"II",8174885,8177143,0,"acr-14","Caenorhabditis elegans Protein ACR-14 (acr-14) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_063315]"
54,65.34959203,69.71064724,0.085567512,1,"V",8552698,8555325,0,"acr-15","Caenorhabditis elegans Protein ACR-15 (acr-15) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_072805]"
55,86.69036927,94.46898562,0.136457571,1,"V",8561247,8564051,0,"acr-16","Caenorhabditis elegans Protein ACR-16, isoform a. [Source:RefSeq mRNA;Acc:NM_072806]"
56,23.07202402,53.10598325,1.197110049,0.045824364,"V",2608672,2615195,0,"acr-17","Caenorhabditis elegans Protein ACR-17, isoform a (acr-17) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001028789]"
57,71.83194949,223.4877307,1.621762837,4.06e-05,"V",15551220,15559128,0,"acr-18","Caenorhabditis elegans Protein ACR-18 (acr-18) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_074467]"
58,5.893209147,16.7253675,1.502675106,0.101059393,"I",9031425,9036653,0,"acr-19","Caenorhabditis elegans Protein ACR-19, isoform b (acr-19) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001136284]"
59,6.020049502,27.68460222,2.276921506,0.001767768,"II",14373912,14377801,0,"acr-20","Caenorhabditis elegans Protein ACR-20, isoform a (acr-20) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001027101]"
60,1.681892302,5.758811931,1.903119199,0.208069239,"III",6583458,6585564,0,"acr-21","Caenorhabditis elegans Protein ACR-21 (acr-21) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_066051]"
61,0,1.677503109,5.33734097,0.119611306,"X",7503778,7506458,0,"lgc-11","Caenorhabditis elegans Protein LGC-11 (lgc-11) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_076869]"
62,4.820186197,17.99076444,1.787070968,0.062879119,"V",3651727,3659486,0,"acr-23","Caenorhabditis elegans Protein ACR-23 (acr-23) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_071623]"
63,142135.623,100943.4,-0.493729483,1,"V",11081055,11082285,0,"act-1","Caenorhabditis elegans Protein ACT-3 (act-3) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_073416]"
64,190250.7642,104822.2401,-0.859966317,0.105509921,"V",11076882,11078109,0,"act-2","Caenorhabditis elegans Protein ACT-2 (act-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_073417]"
65,140498.6801,99814.14106,-0.493248413,1,"V",11071994,11073225,0,"act-3","Caenorhabditis elegans Protein ACT-3 (act-3) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_073416]"
66,94624.52388,88125.93899,-0.102655713,1,"X",4960631,4963953,0,"act-4","Caenorhabditis elegans Protein ACT-4, isoform a. [Source:RefSeq mRNA;Acc:NM_076440]"
67,68764.83314,51776.78218,-0.409379163,1,"III",13604453,13605965,0,"act-5","Caenorhabditis elegans Protein ACT-5 (act-5) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_067408]"
68,168.6245225,326.7534379,0.948035053,0.044089214,"III",4722177,4730529,0,"acy-1","Caenorhabditis elegans Protein ACY-1 (acy-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_065569]"
69,12.41218834,29.17036189,1.266871787,0.115960602,"V",5976012,5981396,0,"acy-2","Caenorhabditis elegans Protein ACY-2 (acy-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_072152]"
70,135.9463962,224.6656417,0.725401312,0.397801657,"III",3775153,3786718,0,"acy-3","Caenorhabditis elegans Protein ACY-3 (acy-3) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_065364]"
71,124.6833025,225.9457204,0.863733358,0.28013993,"V",5624920,5630862,0,"acy-4","Caenorhabditis elegans Protein ACY-4 (acy-4) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_072085]"
72,129.6862483,218.4102053,0.761306944,0.380098144,"X",4854223,4860006,0,"add-1","Caenorhabditis elegans Protein ADD-1, isoform d (add-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001029471]"
73,852.6584433,949.1878246,0.156539373,1,"V",12009636,12013387,0,"add-2","Caenorhabditis elegans Protein ADD-2, isoform a. [Source:RefSeq mRNA;Acc:NM_001047665]"
74,1544.693663,1122.372325,-0.460541564,1,"X",13687903,13695353,0,"adm-2","Caenorhabditis elegans Protein ADM-2 (adm-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_077890]"
75,917.8848625,829.9520256,-0.14407784,1,"X",7795269,7798231,0,"adm-4","Caenorhabditis elegans Protein ADM-4 (adm-4) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_076917]"
79,6081.094377,4416.29667,-0.461814676,1,"I",7773433,7777464,0,"adr-1","Caenorhabditis elegans Protein ADR-1, isoform d. [Source:RefSeq mRNA;Acc:NM_059753]"
80,9645.118281,5937.523728,-0.700132387,0.100452171,"III",7231111,7232820,0,"adr-2","Caenorhabditis elegans Protein ADR-2 (adr-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_066193]"
81,10105.29276,7598.402036,-0.411471585,1,"III",295713,298530,0,"ads-1","Caenorhabditis elegans Protein ADS-1 (ads-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_064784]"
82,15.96531066,46.1113028,1.551936426,0.014238807,"X",12679080,12689111,0,"adt-1","Caenorhabditis elegans Protein ADT-1 (adt-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_077715]"
83,804.5981173,1397.182266,0.795739461,0.060569046,"X",7586161,7594745,0,"adt-2","Caenorhabditis elegans Protein ADT-2, isoform c. [Source:RefSeq mRNA;Acc:NM_001029363]"
84,175.0546306,367.3294402,1.075537636,0.026198507,"I",7602320,7608002,0,"aex-1","Caenorhabditis elegans Protein AEX-1, isoform a (aex-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_170901]"
85,19.07588328,14.25155806,-0.425994379,1,"X",9651195,9653058,0,"aex-2","Caenorhabditis elegans Protein AEX-2 (aex-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_077225]"
86,276.1834407,440.1903997,0.676207534,0.473459672,"X",751523,759700,0,"aex-3","Caenorhabditis elegans Protein AEX-3, isoform b (aex-3) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001029171]"
88,334.9840258,435.3710649,0.37988104,1,"I",14850129,14855720,0,"aex-5","Caenorhabditis elegans Protein AEX-5 (aex-5) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_061193]"
89,73.98830999,115.7408127,0.651937116,0.536427768,"I",13543377,13545173,0,"aex-6","Caenorhabditis elegans Protein AEX-6 (aex-6) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_060975]"
90,4695.280679,3660.991051,-0.359498467,1,"II",11519644,11526990,0,"age-1","Caenorhabditis elegans Protein AGE-1 (age-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_064061]"
92,488.589375,532.133849,0.123878119,1,"X",5290079,5297994,0,"ags-3","Caenorhabditis elegans Protein AGS-3, isoform a. [Source:RefSeq mRNA;Acc:NM_171684]"
93,1810.139289,924.8291839,-0.970534805,0.025446266,"IV",13368500,13369388,0,"agt-1","Caenorhabditis elegans Protein AGT-1, isoform a. [Source:RefSeq mRNA;Acc:NM_001047589]"
94,3016.475792,1587.028694,-0.927153504,0.003023901,"II",5372120,5373329,0,"agt-2","Caenorhabditis elegans Protein AGT-2 (agt-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_062607]"
95,622.4198885,647.744084,0.056407169,1,"I",10194149,10196980,0,"aha-1","Caenorhabditis elegans Protein AHA-1, isoform b (aha-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001264397]"
96,13.81691315,55.73410979,1.976963593,0.000473277,"I",9522570,9531090,0,"ahr-1","Caenorhabditis elegans Protein AHR-1, isoform a (ahr-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001025865]"
97,2997.039735,1365.859371,-1.134739082,0.000462213,"V",14012564,14013425,0,"aip-1","Caenorhabditis elegans Protein AIP-1 (aip-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_074078]"
98,9727.272533,6810.435006,-0.514538326,0.929482595,"V",8221481,8223218,0,"air-1","Caenorhabditis elegans Protein AIR-1 (air-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_072718]"
99,7670.495466,3903.414925,-0.975016354,0.000928781,"I",5937486,5938691,0,"air-2","Caenorhabditis elegans Protein AIR-2 (air-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_059313]"
100,3858.103195,5821.778229,0.593897793,0.407044281,"X",9098290,9113268,0,"ajm-1","Caenorhabditis elegans Protein AJM-1, isoform b. [Source:RefSeq mRNA;Acc:NM_077137]"
101,4659.005947,7506.50929,0.688493362,0.395695672,"II",7473104,7478488,0,"aka-1","Caenorhabditis elegans Protein AKA-1, isoform c (aka-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001026876]"
102,8382.235239,7472.34643,-0.165613897,1,"V",10248931,10252426,0,"akt-1","Caenorhabditis elegans Protein AKT-1, isoform a. [Source:RefSeq mRNA;Acc:NM_001028474]"
103,247.933794,380.7659707,0.616576468,0.493500405,"X",14147638,14151491,0,"akt-2","Caenorhabditis elegans Protein AKT-2, isoform a. [Source:RefSeq mRNA;Acc:NM_077956]"
105,4253.766309,3020.537676,-0.494415135,1,"X",13949420,13954638,0,"alg-1","Caenorhabditis elegans Protein ALG-1, isoform a (alg-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001270309]"
106,4597.359052,3686.143782,-0.318774369,1,"II",873219,878483,0,"alg-2","Caenorhabditis elegans Protein ALG-2, isoform b (alg-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_061436]"
107,14410.4247,12555.86114,-0.198679941,1,"III",5077728,5080467,0,"alh-1","Caenorhabditis elegans Protein ALH-1, isoform a. [Source:RefSeq mRNA;Acc:NM_065680]"
108,0.316178068,2.143680954,2.61670959,0.314000282,"V",1644377,1647728,0,"alh-2","Caenorhabditis elegans Protein ALH-2 (alh-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_071066]"
109,4568.450707,5390.662931,0.238426813,1,"IV",11022584,11025714,0,"alh-3","Caenorhabditis elegans Protein ALH-3 (alh-3) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_069653]"
110,5010.09636,5598.551088,0.160060209,1,"V",6427293,6429895,0,"alh-4","Caenorhabditis elegans Protein ALH-4, isoform a. [Source:RefSeq mRNA;Acc:NM_171471]"
111,232.975267,501.3151263,1.109282537,0.007496361,"V",1996170,1999577,0,"alh-5","Caenorhabditis elegans Protein ALH-5 (alh-5) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_071144]"
112,3279.404031,3190.788407,-0.039558898,1,"II",1306392,1309758,0,"alh-6","Caenorhabditis elegans Protein ALH-6, isoform b. [Source:RefSeq mRNA;Acc:NM_182151]"
113,2341.902877,1803.246991,-0.377917845,1,"II",13487125,13491704,0,"alh-7","Caenorhabditis elegans Protein ALH-7, isoform a. [Source:RefSeq mRNA;Acc:NM_001267464]"
114,72579.83977,34639.03294,-1.067200423,0.009332469,"II",11729016,11730970,0,"alh-8","Caenorhabditis elegans Protein ALH-8, isoform a. [Source:RefSeq mRNA;Acc:NM_001026907]"
115,6527.357237,5675.75971,-0.202083177,1,"III",5857165,5858905,0,"alh-9","Caenorhabditis elegans Protein ALH-9 (alh-9) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_065862]"
116,837.0207331,613.1555447,-0.45056713,1,"X",7140530,7143534,0,"alh-10","Caenorhabditis elegans Protein ALH-10 (alh-10) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_076802]"
117,1751.919935,1742.081375,-0.00834923,1,"III",774389,778130,0,"alh-11","Caenorhabditis elegans Protein ALH-11, isoform a. [Source:RefSeq mRNA;Acc:NM_171072]"
118,4313.132957,3718.952573,-0.214075376,1,"III",7454024,7455838,0,"alh-12","Caenorhabditis elegans Protein ALH-12, isoform a. [Source:RefSeq mRNA;Acc:NM_001027759]"
120,1364.457823,1094.818865,-0.319200909,1,"IV",9108931,9109651,0,"aly-1","Caenorhabditis elegans Protein ALY-1 (aly-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_069187]"
121,39462.71481,21744.0177,-0.859920562,0.050352067,"IV",9147461,9148470,0,"aly-2","Caenorhabditis elegans Protein ALY-2 (aly-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_069193]"
122,15071.38156,9028.309392,-0.739348688,0.043323459,"IV",12123292,12124577,0,"aly-3","Caenorhabditis elegans Protein ALY-3, isoform a (aly-3) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001083228]"
123,13118.28831,10035.58858,-0.386546369,1,"IV",4248181,4257775,0,"ama-1","Caenorhabditis elegans Protein AMA-1 (ama-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_068122]"
133,51.48238694,15.10763451,-1.74877079,0.006273704,"X",4571442,4573785,0,"amt-1","Caenorhabditis elegans Protein AMT-1 (amt-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_076383]"
134,2.893044914,8.29808993,1.493813144,0.275703932,"IV",13042418,13046834,0,"amt-2","Caenorhabditis elegans Protein AMT-2 (amt-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_070095]"
135,11.34386861,47.17705838,1.992644506,0.000755317,"II",8363365,8369032,0,"amt-3","Caenorhabditis elegans Protein AMT-3 (amt-3) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_063360]"
136,892.2495326,1480.134942,0.732509579,0.125529121,"X",4565283,4569225,0,"amt-4","Caenorhabditis elegans Protein AMT-4 (amt-4) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_076382]"
137,645.538327,632.4416389,-0.02925768,1,"III",3822412,3826103,0,"amx-1","Caenorhabditis elegans Protein AMX-1 (amx-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_065371]"
138,446.9715646,653.3014651,0.543737849,0.805239862,"I",12759746,12764938,0,"amx-2","Caenorhabditis elegans Protein AMX-2 (amx-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_060835]"
139,225.7764362,271.6036197,0.271259428,1,"V",20898939,20903410,0,"amx-3","Caenorhabditis elegans Protein AMX-3, isoform a. [Source:RefSeq mRNA;Acc:NM_001270034]"
140,12624.3411,12703.84256,0.009124802,1,"I",4321096,4358873,0,"anc-1","Caenorhabditis elegans Protein ANC-1 (anc-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_058952]"
142,7574.309046,4072.73435,-0.895374869,0.000519464,"V",10127655,10130248,0,"aos-1","Caenorhabditis elegans Protein AOS-1 (aos-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_073203]"
143,3249.41778,2459.016361,-0.401367418,1,"III",8080586,8083542,0,"apc-2","Caenorhabditis elegans Protein APC-2 (apc-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_066361]"
144,3056.446222,1186.777592,-1.366050223,1.43e-06,"V",10425397,10426200,0,"apc-10","Caenorhabditis elegans Protein APC-10, isoform b. [Source:RefSeq mRNA;Acc:NM_001269288]"
145,4425.526862,2045.819639,-1.11352043,2.28e-05,"III",4593890,4594390,0,"apc-11","Caenorhabditis elegans Protein APC-11 (apc-11) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_065536]"
146,13209.2017,8161.777251,-0.694562168,0.090054434,"V",11675944,11684836,0,"ape-1","Caenorhabditis elegans Protein APE-1, isoform a. [Source:RefSeq mRNA;Acc:NM_001269424]"
147,2704.951646,1729.645151,-0.645409769,0.286684679,"I",9232235,9233550,0,"aph-1","Caenorhabditis elegans Protein APH-1 (aph-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_060068]"
148,2173.136169,2272.571114,0.065337898,1,"I",10341020,10345465,0,"aph-2","Caenorhabditis elegans Protein APH-2, isoform a (aph-2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001129091]"
149,4402.512213,5137.519221,0.222445244,1,"X",5113069,5116833,0,"apl-1","Caenorhabditis elegans Protein APL-1, isoform a (apl-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_076469]"
150,592.7203146,950.6062252,0.680025849,0.196573064,"I",5342484,5344707,0,"apm-1","Caenorhabditis elegans Protein APM-1 (apm-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_059171]"
151,2159.122901,2933.604912,0.442479692,1,"II",8047512,8048965,0,"apn-1","Caenorhabditis elegans Protein APN-1 (apn-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_063286]"
155,18579.00032,11316.91374,-0.715339732,0.175413713,"I",4964895,4967071,0,"app-1","Caenorhabditis elegans Protein APP-1 (app-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_059088]"
156,6271.547203,5826.151069,-0.105800976,1,"I",8050038,8055136,0,"Apr-01","Caenorhabditis elegans Protein APR-1, isoform b (apr-1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001026376]"
